GPU Prolog Script v1.14
This is a GPU node.
Enough GPUs available.
Allocating card 1
sweetums-609-8.local
Wed Jun 24 11:18:31 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 550.127.05             Driver Version: 550.127.05     CUDA Version: 12.4     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 2080 Ti     On  |   00000000:3D:00.0 Off |                  N/A |
| 30%   29C    P8             12W /  250W |       1MiB /  11264MiB |      0%   E. Process |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
|   1  NVIDIA GeForce RTX 2080 Ti     On  |   00000000:3E:00.0 Off |                  N/A |
| 29%   28C    P8             21W /  250W |       1MiB /  11264MiB |      0%   E. Process |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
|   2  NVIDIA GeForce RTX 2080 Ti     On  |   00000000:60:00.0 Off |                  N/A |
| 30%   44C    P2            245W /  250W |    2069MiB /  11264MiB |     94%   E. Process |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
|   3  NVIDIA GeForce RTX 2080 Ti     On  |   00000000:61:00.0 Off |                  N/A |
| 30%   31C    P8             19W /  250W |       1MiB /  11264MiB |      0%   E. Process |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
|   4  NVIDIA GeForce RTX 2080 Ti     On  |   00000000:B1:00.0 Off |                  N/A |
| 31%   29C    P8             34W /  250W |       1MiB /  11264MiB |      0%   E. Process |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
|   5  NVIDIA GeForce RTX 2080 Ti     On  |   00000000:B2:00.0 Off |                  N/A |
| 31%   30C    P8             22W /  250W |       1MiB /  11264MiB |      0%   E. Process |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
|   6  NVIDIA GeForce RTX 2080 Ti     On  |   00000000:DA:00.0 Off |                  N/A |
| 31%   28C    P8             19W /  250W |       1MiB /  11264MiB |      0%   E. Process |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
|   7  NVIDIA GeForce RTX 2080 Ti     On  |   00000000:DB:00.0 Off |                  N/A |
| 31%   24C    P8              1W /  250W |       1MiB /  11264MiB |      0%   E. Process |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|    2   N/A  N/A    132706      C   ...ic/Cardiac_SUMMIT/env/TS/bin/python       2066MiB |
+-----------------------------------------------------------------------------------------+
Selected GPU 0
creating model SAM-Med3D
try to load pretrained weights from https://huggingface.co/blueyo0/SAM-Med3D/blob/main/sam_med3d_turbo.pth
cache found, use pretrained weights in /home/wenyan/.local/share/checkpoint/huggingface_hub/blueyo0/SAM-Med3D/sam_med3d_turbo.pth
Loaded 6 selected atlas masks from ../register/atlas_bank/reference_bank.csv
Loaded frozen light registration from /cluster/project7/longitude/atlasSam/register/checkpoints/light_register/latest_light_register.pth
data length: 134
inference/sammed3d_atlas_picai_zones_ratio0.7/1-uclH-data_ratio0.8_sammed3d_atlas
0: Patient812415908_study_0, CG Dice=0.0489, PZ Dice=0.6342, prostate Dice=0.5525, CG Dist=24.6982, PZ Dist=2.9155, prostate Dist=11.7047
[ WARN:0@29.676] global loadsave.cpp:1063 imwrite_ Unsupported depth image for selected encoder is fallbacked to CV_8U.
1: Patient992290047_study_0, CG Dice=0.3056, PZ Dice=0.2616, prostate Dice=0.7258, CG Dist=15.7242, PZ Dist=4.7170, prostate Dist=4.3012
2: Patient861941190_study_0, CG Dice=0.3820, PZ Dice=0.0189, prostate Dice=0.7245, CG Dist=5.6789, PZ Dist=9.6047, prostate Dist=3.0000
3: Patient946849365_study_0, CG Dice=0.4655, PZ Dice=0.0328, prostate Dice=0.7954, CG Dist=6.5765, PZ Dist=7.8740, prostate Dist=3.0000
4: Patient912361214_study_0, CG Dice=0.4598, PZ Dice=0.1873, prostate Dice=0.8596, CG Dist=7.6322, PZ Dist=5.3852, prostate Dist=1.4142
5: Patient892640977_study_0, CG Dice=0.7457, PZ Dice=0.1468, prostate Dice=0.8316, CG Dist=3.9370, PZ Dist=5.1962, prostate Dist=2.2361
6: Patient846659801_study_0, CG Dice=0.0001, PZ Dice=0.5790, prostate Dice=0.5863, CG Dist=17.2409, PZ Dist=3.2016, prostate Dist=10.8743
7: Patient899795838_study_0, CG Dice=0.3560, PZ Dice=0.2264, prostate Dice=0.8217, CG Dist=10.9550, PZ Dist=5.0990, prostate Dist=2.0616
8: Patient878281488_study_0, CG Dice=0.6909, PZ Dice=0.0740, prostate Dice=0.8711, CG Dist=4.5826, PZ Dist=9.2331, prostate Dist=1.1180
9: Patient832853324_study_0, CG Dice=0.6316, PZ Dice=0.1095, prostate Dice=0.8508, CG Dist=4.7170, PZ Dist=7.8835, prostate Dist=1.5000
10: Patient922970529_study_0, CG Dice=0.6740, PZ Dice=0.1267, prostate Dice=0.8350, CG Dist=3.3541, PZ Dist=4.3875, prostate Dist=1.5000
11: Patient927268952_study_0, CG Dice=0.5096, PZ Dice=0.1208, prostate Dice=0.9033, CG Dist=6.3443, PZ Dist=6.5955, prostate Dist=0.7071
12: Patient857551265_study_0, CG Dice=0.3408, PZ Dice=0.1232, prostate Dice=0.5910, CG Dist=16.3783, PZ Dist=9.0000, prostate Dist=11.4455
13: Patient947535985_study_0, CG Dice=0.0755, PZ Dice=0.2244, prostate Dice=0.7622, CG Dist=13.4629, PZ Dist=5.0000, prostate Dist=4.0311
14: Patient910053655_study_0, CG Dice=0.4245, PZ Dice=0.0867, prostate Dice=0.8551, CG Dist=5.0990, PZ Dist=9.4074, prostate Dist=1.4142
15: Patient946782415_study_0, CG Dice=0.8336, PZ Dice=0.0434, prostate Dice=0.8288, CG Dist=1.8708, PZ Dist=10.4403, prostate Dist=1.7321
16: Patient833373915_study_0, CG Dice=0.4629, PZ Dice=0.1181, prostate Dice=0.8412, CG Dist=7.0000, PZ Dist=7.5664, prostate Dist=1.7321
17: Patient981742409_study_0, CG Dice=0.5334, PZ Dice=0.2754, prostate Dice=0.8670, CG Dist=6.0208, PZ Dist=3.9051, prostate Dist=1.4142
18: Patient973816846_study_0, CG Dice=0.1314, PZ Dice=0.2089, prostate Dice=0.3910, CG Dist=20.8926, PZ Dist=7.0711, prostate Dist=15.2971
19: Patient909335475_study_0, CG Dice=0.3744, PZ Dice=0.3828, prostate Dice=0.7513, CG Dist=13.8384, PZ Dist=4.1231, prostate Dist=5.0000
20: Patient859345992_study_0, CG Dice=0.3889, PZ Dice=0.2419, prostate Dice=0.8228, CG Dist=5.6125, PZ Dist=5.5227, prostate Dist=2.5000
21: Patient909623892_study_0, CG Dice=0.7120, PZ Dice=0.1867, prostate Dice=0.8981, CG Dist=5.0000, PZ Dist=7.8740, prostate Dist=0.7071
